participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,b,1,2.827,,,,,,,,,1.727,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,v,1,2.664,,,,,,,,,1.564,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,b,1,2.17,,,,,,,,,0.67,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,v,1,1.936,,,,,,,,,0.636,space,0,3,3,8,1,1.3,images/target_square.jpg,0.356,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,v,1,1.936,,,,,,,,,0.436,space,0,4,4,2,1,1.5,images/target_square.jpg,0.345,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,c,1,2.259,,,,,,,,,0.959,space,0,5,5,3,1,1.3,images/target_cross.jpg,0.259,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,c,1,2.286,,,,,,,,,0.786,space,0,6,6,6,1,1.5,images/target_cross.jpg,0.352,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,b,1,2.143,,,,,,,,,0.843,space,0,7,7,1,1,1.3,images/target_plus.jpg,0.882,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,c,1,2.451,,,,,,,,,1.351,space,0,8,8,0,1,1.1,images/target_cross.jpg,1.038,,,,,,,,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,0.004725898,-0.275992439,1,0,0,,,,,
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,c,0,2.128,,,,,,,,,0.628,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,0,0,4,1
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,b,1,1.988,,,,,,,,,0.888,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,1,1,7,1
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,v,1,1.477,,,,,,,,,0.377,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,2,2,5,1
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,b,0,1.775,,,,,,,,,0.475,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,3,3,8,1
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,b,1,1.898,,,,,,,,,0.598,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,4,4,1,1
,001,2024-02-08_12h47.51.445,choiceRTT,2023.1.3,MacIntel,30.3030303,v,1,2.125,,,,,,,,,0.625,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,5,5,2,1
