response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mouseResp.clicked_name,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
n,1,8.292000055,0.086111126,-0.114814824,0,0,0,1,0,8,3,1,7,1,0.375,n,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,,,,,,,
n,0,0.894000053,0.086111126,-0.114814824,0,0,0,1,0,8,6,1,7,1,0.125,b,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,,,,,,,
,0,,0.355555687,-0.003703711,1,0,0,1,0,8,7,1,7,1,0.375,n,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.105555544,0.059259224,1,0,0,1,0,8,5,1,7,1,-0.125,v,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.43703703,0.024999993,1,0,0,1,0,8,4,1,7,1,-0.375,c,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.148148137,0.029629623,1,0,0,1,0,8,1,1,7,1,-0.125,v,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.400925919,0.089814809,1,0,0,1,0,8,0,1,7,1,-0.375,c,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.077777792,0.028703697,1,0,0,1,0,8,2,1,7,1,0.125,b,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.111111126,0.018518511,1,0,0,,,,,,,2.111,0.125,b,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,targImage,1,0,40,22,1,39
,0,,-0.110185174,0.024074067,1,0,0,,,,,,,2.3332,-0.125,v,a,001,2021-10-02_20h33.05.619,choiceRTT,3.1.3,60,targImage,1,0,40,25,1,39
