response.keys, response.corr, response.rt, mouseResp.clicked_name, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, mainTrials.thisRepN, mainTrials.thisTrialN, mainTrials.thisN, mainTrials.thisIndex, mainTrials.ran, mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.111, -0.125, v, 1, 0, 40, 21, 1, 39, 2.111, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.2222, -0.125, v, 1, 0, 40, 5, 1, 39, 1.2222, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.125, v, 1, 0, 40, 17, 1, 39, 1.8888, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.375, c, 1, 0, 40, 0, 1, 39, 1, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.5554, -0.125, v, 1, 0, 40, 29, 1, 39, 2.5554, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 1, 0, 40, 3, 1, 39, 1, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.7776, -0.125, v, 1, 0, 40, 33, 1, 39, 2.7776, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, -0.375, c, 1, 0, 40, 24, 1, 39, 2.3332, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.2222, -0.375, c, 1, 0, 40, 4, 1, 39, 1.2222, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, 0.125, b, 1, 0, 40, 38, 1, 39, 2.9998, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.125, b, 1, 0, 40, 18, 1, 39, 1.8888, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.111, -0.375, c, 1, 0, 40, 20, 1, 39, 2.111, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
