response.keys, response.corr, response.rt, mouseResp.clicked_name, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, mainTrials.thisRepN, mainTrials.thisTrialN, mainTrials.thisN, mainTrials.thisIndex, mainTrials.ran, mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, yuan, 001, 2018-10-02_23:58:39.064, choiceRTT, 60
