response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
n,0,4.075000048,0.110185185,-0.207407407,0,0,0,1,0,8,6,1,7,1,0.125,b,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,,,,,,
v,1,0.808000088,0.110185185,-0.207407407,0,0,0,1,0,8,1,1,7,1,-0.125,v,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,,,,,,
b,0,0.674999952,0.110185185,-0.207407407,0,0,0,1,0,8,4,1,7,1,-0.375,c,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,,,,,,
n,0,0.09100008,0.110185185,-0.207407407,0,0,0,1,0,8,5,1,7,1,-0.125,v,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,,,,,,
n,1,2.990999937,0.110185185,-0.206481481,0,0,0,1,0,8,7,1,7,1,0.375,n,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,,,,,,
n,1,0.507999897,0.110185185,-0.206481481,0,0,0,1,0,8,3,1,7,1,0.375,n,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,,,,,,
c,1,0.440999985,0.110185185,-0.206481481,0,0,0,1,0,8,0,1,7,1,-0.375,c,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,,,,,,
b,1,0.691999912,0.110185185,-0.206481481,0,0,0,1,0,8,2,1,7,1,0.125,b,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,,,,,,
b,1,0.594000101,0.110185185,-0.206481481,0,0,0,,,,,,,2.111,0.125,b,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,1,0,40,22,1,39
c,1,0.359999895,0.110185185,-0.206481481,0,0,0,,,,,,,2.9998,-0.375,c,111,001,2021-05-25_11h55.51.643,choiceRTT,3.1.3,60,1,0,40,36,1,39
