participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,PracticeLoop.order
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,,,,,,,,,,,,,,,,,,,,,,,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,v,1,15.6296,,,,,,,,,14.1296,space,9.8137,,0,0,0,2,1,1.5,images/target_square.jpg,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,b,1,4.4832,,,,,,,,,2.9832,space,2.7458,,0,1,1,4,1,1.5,images/target_plus.jpg,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,b,1,3.1631,0.0005,,,,,,,,2.0631,space,2.4851,,0,2,2,7,1,1.1,images/target_plus.jpg,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,b,1,2.1531,,,,,,,,,0.8531,space,1.4117,,0,3,3,1,1,1.3,images/target_plus.jpg,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,c,1,4.9818,,,,,,,,,3.4818,space,1.6518,,0,4,4,6,1,1.5,images/target_cross.jpg,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,v,1,3.2985,,,,,,,,,1.9985,space,2.8595,,0,5,5,8,1,1.3,images/target_square.jpg,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,v,1,2.4607,,,,,,,,,1.3607,space,1.7126,,0,6,6,5,1,1.1,images/target_square.jpg,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,c,1,5.7361,,,,,,,,,4.4361,space,1.5174,,0,7,7,3,1,1.3,images/target_cross.jpg,
X,001,2024-01-14_15h26.07.044,choiceRTT,2023.1.3,Win32,20,c,1,5.1334,,,,,,,,,4.0334,,,,0,8,8,0,1,1.1,images/target_cross.jpg,8
