response.keys, response.corr, response.rt, mouseResp.clicked_name, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, mainTrials.thisRepN, mainTrials.thisTrialN, mainTrials.thisN, mainTrials.thisIndex, mainTrials.ran, mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, juan, 001, 2018-10-01_17:08:14.627, choiceRTT, 60
